project,commit,path,status_diff3,time_diff3,phase1_time_diff3,phase2_time_diff3,phase2_unify_time_diff3,phase2_diffy_calls_diff3,phase2_diffy_time_diff3,phase3_time_diff3,phase3_unify_time_diff3,phase3_diffy_calls_diff3,phase3_diffy_time_diff3,total_merge_module_time_diff3,status_mergiraf,time_mergiraf,phase1_time_mergiraf,phase2_time_mergiraf,phase2_unify_time_mergiraf,phase2_diffy_calls_mergiraf,phase2_diffy_time_mergiraf,phase3_time_mergiraf,phase3_unify_time_mergiraf,phase3_diffy_calls_mergiraf,phase3_diffy_time_mergiraf,total_merge_module_time_mergiraf,status_mergiraf_semi,time_mergiraf_semi,phase1_time_mergiraf_semi,phase2_time_mergiraf_semi,phase2_unify_time_mergiraf_semi,phase2_diffy_calls_mergiraf_semi,phase2_diffy_time_mergiraf_semi,phase3_time_mergiraf_semi,phase3_unify_time_mergiraf_semi,phase3_diffy_calls_mergiraf_semi,phase3_diffy_time_mergiraf_semi,total_merge_module_time_mergiraf_semi,status_mergiraf_semi_plus,time_mergiraf_semi_plus,phase1_time_mergiraf_semi_plus,phase2_time_mergiraf_semi_plus,phase2_unify_time_mergiraf_semi_plus,phase2_diffy_calls_mergiraf_semi_plus,phase2_diffy_time_mergiraf_semi_plus,phase3_time_mergiraf_semi_plus,phase3_unify_time_mergiraf_semi_plus,phase3_diffy_calls_mergiraf_semi_plus,phase3_diffy_time_mergiraf_semi_plus,total_merge_module_time_mergiraf_semi_plus
js-org/js.org,628b0ddd2824dff95fb9a7206934380cf3b41069,mergeAnalysisOutput/js/js-org/js.org/628b0ddd2824dff95fb9a7206934380cf3b41069/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,7489624,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,74362323,69.985779ms,,,,,,,,,70.205865ms,SUCCESS_WITHOUT_CONFLICTS,73650586,69.674452ms,,,,,,,,,69.88097ms,SUCCESS_WITHOUT_CONFLICTS,74027380,70.551637ms,,,,,,,,,70.760557ms
js-org/js.org,b5799e711f37d8bf945e26748e0fef1fbff832f5,mergeAnalysisOutput/js/js-org/js.org/b5799e711f37d8bf945e26748e0fef1fbff832f5/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,5296959,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,75979807,73.169279ms,,,,,,,,,73.39389ms,SUCCESS_WITHOUT_CONFLICTS,76406028,71.524449ms,,,,,,,,,71.745344ms,SUCCESS_WITHOUT_CONFLICTS,76471838,74.692808ms,,,,,,,,,74.92025ms
js-org/js.org,2d272b3d14e96eb9404be24b381468b76d011e05,mergeAnalysisOutput/js/js-org/js.org/2d272b3d14e96eb9404be24b381468b76d011e05/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,5524148,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,74863615,69.807705ms,,,,,,,,,70.033586ms,SUCCESS_WITHOUT_CONFLICTS,77044104,73.711086ms,,,,,,,,,73.933175ms,SUCCESS_WITHOUT_CONFLICTS,77850769,74.814153ms,,,,,,,,,75.044789ms
js-org/js.org,fd12d6cd3ac6c1f222258626650537c366bb25d5,mergeAnalysisOutput/js/js-org/js.org/fd12d6cd3ac6c1f222258626650537c366bb25d5/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,6127412,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,75677954,68.729489ms,,,,,,,,,68.93835ms,SUCCESS_WITHOUT_CONFLICTS,76242781,71.008976ms,,,,,,,,,71.231818ms,SUCCESS_WITHOUT_CONFLICTS,73413524,69.328291ms,,,,,,,,,69.538978ms
js-org/js.org,75bbc8fefcb6640633119b71cc660ebc04213941,mergeAnalysisOutput/js/js-org/js.org/75bbc8fefcb6640633119b71cc660ebc04213941/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,5865842,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,72035416,67.572173ms,,,,,,,,,67.798051ms,SUCCESS_WITHOUT_CONFLICTS,72484511,67.945417ms,,,,,,,,,68.156598ms,SUCCESS_WITHOUT_CONFLICTS,72326439,68.094529ms,,,,,,,,,68.31211ms
js-org/js.org,28a6431b2b7b0ffb744ca2ba1cb2aa3c526d5219,mergeAnalysisOutput/js/js-org/js.org/28a6431b2b7b0ffb744ca2ba1cb2aa3c526d5219/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,5654483,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,76036138,69.132621ms,,,,,,,,,69.352323ms,SUCCESS_WITHOUT_CONFLICTS,75476704,70.689156ms,,,,,,,,,70.905172ms,SUCCESS_WITHOUT_CONFLICTS,77273746,70.858362ms,,,,,,,,,71.073527ms
js-org/js.org,23ad4146c1d275d120edef59176ad7dc0be84123,mergeAnalysisOutput/js/js-org/js.org/23ad4146c1d275d120edef59176ad7dc0be84123/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,5696847,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,76570955,71.412612ms,,,,,,,,,71.644307ms,SUCCESS_WITHOUT_CONFLICTS,75748939,71.631328ms,,,,,,,,,71.841146ms,SUCCESS_WITHOUT_CONFLICTS,77172020,72.633084ms,,,,,,,,,72.850572ms
js-org/js.org,e5672f263b0365ccd9116495a8de0704476dc03d,mergeAnalysisOutput/js/js-org/js.org/e5672f263b0365ccd9116495a8de0704476dc03d/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,5247411,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,73329091,70.145031ms,,,,,,,,,70.351458ms,SUCCESS_WITHOUT_CONFLICTS,72915636,68.624664ms,,,,,,,,,68.832424ms,SUCCESS_WITHOUT_CONFLICTS,73336568,68.778746ms,,,,,,,,,69.010684ms
js-org/js.org,50c907454bb22aaa01616a98f5dd4f9e2b04bcd1,mergeAnalysisOutput/js/js-org/js.org/50c907454bb22aaa01616a98f5dd4f9e2b04bcd1/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,5966183,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,75514435,70.359414ms,,,,,,,,,70.578234ms,SUCCESS_WITHOUT_CONFLICTS,75091144,71.467778ms,,,,,,,,,71.682411ms,SUCCESS_WITHOUT_CONFLICTS,77242001,70.946681ms,,,,,,,,,71.186412ms
js-org/js.org,fb141caeddca2d38416e75214f1fa6523f582fad,mergeAnalysisOutput/js/js-org/js.org/fb141caeddca2d38416e75214f1fa6523f582fad/cnames_active.js,SUCCESS_WITHOUT_CONFLICTS,5209217,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,74412023,70.192391ms,,,,,,,,,70.43362ms,SUCCESS_WITHOUT_CONFLICTS,75939375,71.437929ms,,,,,,,,,71.649336ms,SUCCESS_WITHOUT_CONFLICTS,74544840,69.413913ms,,,,,,,,,69.629849ms
